ID,ADM,cl_ih,u_r,quad,area,nofarms_07,nofarms_02,cuerdas_07,cuerdas_02,irr_farms_07,irr_farms_02,rain_mean,rain_std,elev_mean,elev_std,u,v,MUNICIPALI
1,3,0,0,3,55.47,130,161,9202,10585,19,29,63.0068,8.85786,158.0347,80.9559,91923,68602.5,ISABELA
2,3,0,1,3,35.57,52,41,3381,6506,7,5,60.8365,6.45267,96.4715,51.4989,79759,69679.2,AGUADILLA
3,2,0,1,3,41.54,234,218,14911,23071,74,41,66.8537,11.5425,174.786,109.9413,114001,64210.1,HATILLO
4,2,0,0,3,46.49,278,194,11200,11856,28,21,66.0125,9.04869,188.2691,87.8667,107239,65135,CAMUY
5,2,0,1,4,46.68,120,134,4274,6944,5,11,61.6309,6.25333,65.1103,62.3372,156158,66309.9,VEGA-BAJA
6,2,0,0,3,23.04,125,97,4358,4678,14,5,62.9929,6.9683,165.0769,62.9395,100309,67396.9,QUEBRADILLAS
7,1,0,1,4,27.86,56,29,1982,2300,2,5,67.8916,5.71115,80.9574,62.8729,162518,64161.3,VEGA-ALTA
8,1,0,1,4,23.49,10,30,2696,3289,4,10,66.3496,5.64275,33.6224,38.3104,168663,67027.6,DORADO
9,3,1,0,3,50.43,497,266,13622,8987,10,8,78.2783,5.88159,127.4796,67.3659,83945,60618.3,MOCA
10,1,0,1,4,46.57,68,82,3140,5766,3,4,66.3989,6.64705,64.7497,87.0056,202647,60317.7,CAROLINA
11,1,0,1,4,60.8,78,100,5514,5674,4,5,94.1073,16.0761,247.0725,276.9399,217843,57109,RIO-GRANDE
12,1,1,1,4,27.47,63,57,2807,4678,1,13,76.6096,0.870098,83.1646,44.7164,172117,58797.6,TOA-ALTA
13,3,1,0,3,70.8,518,784,17952,23722,22,27,87.1181,4.74092,188.5085,80.7419,95508,55128.6,SAN-SEBASTIAN
14,1,0,0,4,25.71,62,31,1670,2692,1,1,90.0194,11.8286,131.112,142.9508,227224,56692.1,LUQUILLO
15,1,1,1,4,20.95,42,25,1413,249,3,5,70.3315,0.992489,93.0511,58.9987,198250,55952,TRUJILLO-ALTO
16,2,1,0,4,38.55,267,314,11341,12593,8,13,74.9488,3.34393,242.839,122.2875,153742,53759.5,MOROVIS
17,1,1,0,4,41.77,507,330,11489,12670,8,23,75.1786,0.636455,325.8323,171.6427,163510,52346.7,COROZAL
18,2,1,0,3,61.7,796,1209,16113,19432,14,11,87.4349,3.26541,399.2821,97.1888,106529,48451.2,LARES
19,1,1,0,4,27.7,188,231,4828,6913,7,14,75.2571,0.971153,349.9549,181.6446,171469,50595.8,NARANJITO
20,3,0,0,3,40.05,146,250,6492,9934,2,5,80.6967,4.57953,88.5573,76.1631,79718,50692,ANASCO
21,5,1,1,4,27.95,56,54,1869,2546,9,17,68.3169,1.88601,141.1139,94.3947,200370,48213.6,GURABO
22,5,1,0,4,30.09,232,173,5672,5926,5,27,70.0355,1.59596,348.1751,97.9046,184769,46537.1,AGUAS-BUENAS
23,4,1,0,1,39.27,401,717,10885,15847,2,14,83.417,3.11199,698.3519,213.5694,135948,41981.9,JAYUYA
24,3,1,0,3,47.03,404,693,7734,12149,6,6,92.5913,2.86009,302.7695,108.2475,94182,44989.5,LAS-MARIAS
