ID	num	EV1	EV2	EV3	EV4	EV5	EV6	EV7	EV8	EV9	EV10	EV11	EV12	EV13	EV14	EV15	EV16	EV17	EV18
1	33	0.093842	-0.041886	0.056156	-0.040758	0.266654	-0.077866	0.027071	-0.020521	-0.03196	-0.050134	-0.075464	0.053081	0.236642	0.059535	0.24354	-0.101606	-0.02668	-0.148447
2	3	0.058464	-0.033352	0.04879	-0.040131	0.202042	-0.090733	0.049521	-0.029479	-0.023652	-0.20353	-0.078516	0.135047	0.106797	0.142101	0.044692	0.017154	0.041812	0.037531
3	30	0.122777	0.035765	-0.097887	-0.005055	0.074999	0.161663	-0.055203	0.067605	0.120354	0.190345	0.097894	-0.137587	0.083901	0.1601	-0.015439	0.065855	0.079898	0.313306
4	14	0.135954	-0.01881	-0.00705	-0.006389	0.174933	0.072905	-0.069378	0.034682	0.015537	0.27299	0.020113	-0.146141	0.179469	-0.021408	0.161694	-0.062937	-0.010941	0.118846
5	70	-0.011608	0.090843	-0.009825	-0.14315	-0.035118	-0.041612	0.123873	0.153867	-0.006533	0.029077	-0.206977	0.020284	-0.075305	-0.135205	0.013355	-0.23058	-0.007731	0.013801
6	55	0.087113	-0.030037	0.029457	-0.025046	0.196978	-0.018206	-0.016358	0.003035	-0.012877	0.125649	-0.033036	-0.072108	0.241534	-0.024797	0.277668	-0.139275	-0.063712	-0.103874
7	69	-0.04531	0.137003	0.084567	-0.231326	-0.055504	-0.053227	0.029761	0.183473	-0.179498	0.040545	-0.152681	-0.107147	-0.111639	-0.047539	0.065987	-0.093017	0.176038	0.089166
8	23	-0.029139	0.055214	0.096002	-0.1638	-0.033943	-0.008542	-0.065703	0.105135	-0.15931	-0.060928	-0.016006	-0.239699	-0.013137	0.093572	-0.058248	-0.048482	0.261087	-0.051871
9	47	0.119306	-0.056405	0.086938	-0.045822	0.318832	-0.127734	0.073373	-0.038213	-0.035391	-0.177196	-0.053885	0.144805	0.05683	0.095283	0.017389	0.024824	0.043335	-0.023428
10	15	-0.097686	-0.14982	-0.062814	-0.071277	-0.015783	0.125803	0.216439	-0.174721	-0.180066	0.080952	-0.060182	-0.090165	-0.014297	0.13687	-0.044203	0.053931	-0.259402	0.082274
11	57	-0.041038	-0.11719	-0.139842	-0.170803	-0.060765	-0.1476	-0.179564	-0.197128	0.177644	0.047716	-0.103706	-0.046797	-0.068182	0.00743	-0.002345	0.010583	-0.019872	-0.083658
12	65	-0.080237	0.12186	0.206347	-0.249335	-0.050184	0.014349	-0.137767	0.114112	-0.199272	-0.032858	0.070886	-0.200628	-0.010698	0.123701	-0.043746	0.05506	0.128758	-0.044391
13	63	0.210986	-0.064447	0.079769	-0.016869	0.342878	-0.038179	-0.003293	-0.002267	-0.037928	0.189018	0.009122	-0.040994	0.091811	-0.103415	0.125669	-0.066842	-0.029102	-0.154195
14	42	-0.008323	-0.046675	-0.058759	-0.098436	-0.03184	-0.092284	-0.132722	-0.136289	0.206729	-0.037345	-0.198842	-0.155718	-0.080738	-0.062211	0.106698	0.23663	-0.017891	-0.049272
15	67	-0.102553	-0.122458	-0.003467	-0.006839	0.007905	0.179929	0.233013	-0.119749	-0.100002	0.013671	-0.106286	-0.112146	-0.01988	-0.036814	0.043249	0.105973	0.006685	0.210357
16	48	-0.033593	0.220021	-0.043637	-0.182592	-0.051239	-0.070227	0.202849	0.169264	-0.011139	0.093843	-0.183028	0.105338	-0.080825	-0.181136	0.056443	-0.094151	-0.033002	0.002971
17	22	-0.095154	0.220054	0.119595	-0.163435	-0.046137	-0.073126	-0.010788	0.073287	-0.162672	0.151354	-0.021544	0.09646	-0.102561	-0.013268	0.156931	0.169346	-0.033485	0.156283
18	38	0.274585	-0.010429	-0.041191	0.058776	0.082202	0.205447	-0.152468	0.049417	-0.041265	0.307466	0.017694	-0.061252	-0.048233	-0.090166	-0.079523	0.045152	0.03035	0.061621
19	50	-0.110442	0.125942	0.218662	-0.122271	-0.02119	0.03393	-0.156439	-0.003974	-0.040169	0.069298	0.142354	0.107118	-0.015606	0.12304	0.046008	0.164331	-0.188503	0.022397
20	6	0.167118	-0.073583	0.124241	-0.011946	0.236984	-0.142527	0.108893	-0.035692	-0.007953	-0.091082	0.079422	0.074197	-0.253611	-0.040257	-0.205361	0.088204	0.033054	0.010947
21	29	-0.12949	-0.17397	-0.068863	-0.013504	-0.002706	0.134728	0.225681	-0.067001	-0.191149	0.085069	-0.031102	-0.035054	-0.053942	0.099184	0.063661	0.147859	0.040082	-0.040056
22	4	-0.156996	-0.039048	0.199702	0.008344	0.027141	0.253223	0.011254	-0.106502	0.202488	-0.090013	0.05691	0.050869	0.07645	-0.221331	-0.059563	-0.132789	0.017994	-0.043941
23	34	0.032293	0.200438	-0.196021	0.042224	-0.004255	0.055121	0.076495	-0.084801	0.011805	-0.134142	0.185461	-0.007668	0.01872	-0.041753	0.082352	0.136044	0.113761	-0.24839
24	39	0.208791	-0.065621	0.099067	0.040402	0.086372	-0.032731	0.028042	0.001446	-0.013295	0.196475	0.108312	-0.051874	-0.239809	-0.20612	-0.176157	0.043558	-0.016935	-0.167393
25	21	-0.137964	0.062288	0.22423	-0.004502	0.013896	0.121355	-0.130704	-0.073411	0.156615	0.037315	0.131676	0.210276	0.006608	0.031314	0.020972	0.014442	-0.147567	-0.087843
26	46	0.191	-0.084074	0.160916	0.072018	-0.138196	-0.133624	0.153823	-0.017894	0.068147	0.023525	0.214957	-0.08383	-0.284364	-0.055982	0.012558	-0.061063	-0.046705	-0.035706
27	1	0.164194	0.045924	-0.133804	0.063528	-0.038095	0.253034	-0.213022	-0.007472	-0.145953	-0.133287	-0.076744	0.100153	-0.194685	0.016854	0.091356	-0.120161	-0.065618	0.055706
28	44	0.231577	-0.070092	0.107788	0.099979	-0.177955	0.009329	-0.000383	0.013015	-0.036569	0.175515	-0.000672	0.026442	-0.07499	-0.150577	-0.193225	0.08955	0.020277	-0.152208
29	5	-0.145439	0.063029	0.059498	0.259901	0.051052	-0.070584	-0.079307	0.00663	0.080576	0.131192	-0.123297	0.033863	-0.107918	0.20383	-0.03227	-0.136637	0.091167	0.032718
30	71	-0.039641	0.143515	-0.061667	0.110413	0.004378	-0.110246	0.038303	-0.161333	-0.108522	0.003659	0.05445	-0.054384	0.108587	-0.152115	-0.046484	0.037924	0.016132	0.024905
31	60	0.171905	-0.078746	0.153887	0.096276	-0.306032	-0.112935	0.139281	-0.009824	0.067208	-0.023165	0.100517	-0.031407	0.034505	0.076279	0.142736	-0.045664	0.014679	0.009633
32	54	0.07579	0.120576	-0.180537	0.068249	-0.010681	0.147022	-0.083225	-0.092571	-0.094644	-0.253219	0.117071	-0.012486	-0.124384	0.009364	0.182379	-0.050875	0.055343	-0.139429
33	12	0.109859	-0.057501	0.116444	0.059076	-0.216383	-0.112894	0.138853	-0.014073	0.088956	-0.071521	0.146734	-0.081418	-0.026376	0.1175	0.244752	-0.126888	-0.029945	0.111605
34	31	0.093246	-0.04912	0.099003	0.046655	-0.167482	-0.099648	0.12298	-0.013009	0.082941	-0.052011	0.162918	-0.098161	-0.108828	0.073372	0.20947	-0.140524	-0.060732	0.09564
35	58	0.154006	-0.057118	0.092454	0.088396	-0.267148	-0.009528	0.002278	0.005451	-0.048427	0.004315	-0.165466	0.143735	0.272133	0.02408	-0.104535	0.136674	0.095511	-0.087419
36	37	0.103235	-0.050183	0.093267	0.0629	-0.242796	-0.064688	0.070275	-0.004623	0.023509	-0.072556	-0.058175	0.056975	0.26699	0.135417	0.10298	0.037977	0.079886	0.037518
37	66	-0.039862	0.041194	0.127282	-0.147233	-0.025445	0.033273	-0.106718	0.055949	-0.101443	-0.103093	0.079753	-0.228967	0.06027	0.103422	-0.135883	-0.031348	0.146467	-0.158372
38	7	0.065939	0.093426	-0.146075	-0.047991	0.018097	0.124792	0.080161	0.100466	0.242278	0.031005	0.090039	-0.038657	0.075458	0.251153	-0.133022	0.062213	0.02751	0.143572
